Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-000172,1/18/2019,2:15:00 PM,COMMON ROAD,Information,Health & Safety Concern,Security responded to a report of children who appeared to be unattended. A family member was located. No further action was required.
2019-000174,1/18/2019,2:39:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Information,Health & Safety Concern,Security responded to check on the well-being of a non-community member who contacted a University office and made concerning comments. The individual was located and all was reported to be in order.
2019-000173,1/18/2019,3:01:00 PM,SCHULICH SCHOOL OF BUSINESS,Indecent Act,Public Indecency,"A community member reported observing two community members engaged in sexual activity inside a third floor lounge. When confronted, the two community members acted in a belligerent manner towards the complainant. Descriptions of the involved parties were obtained."
2019-000175,1/18/2019,3:16:00 PM,WILLIAM SMALL CENTRE,Information,Health & Safety Concern,Security conducted a wellness check on a community member. The individual declined medical care.
2019-000176,1/18/2019,4:28:00 PM,NORMAN BETHUNE COLLEGE,Smoking Complaint,Subject Not Identified,Security responded to a report of individuals smoking in the building.
2019-000179,1/18/2019,5:18:00 PM,GLENDON COLLEGE - YORK HALL,"Theft, Under $5000",Private Property,Security responded to a report that a community member concealed several food items and left the cafeteria without making payment.
2019-000180,1/18/2019,6:40:00 PM,WILLIAM SMALL CENTRE,Disorderly Behaviour,Intoxicated Person,Security and Toronto Police responded to a report that two intoxicated males were acting in a belligerent manner towards community members. One individual was identified as a community member and they were escorted off campus.
2019-000182,1/18/2019,10:53:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security and Toronto Police responded to a noise complaint. The source of the noise was located and the leaseholder was directed to lower the noise level.
2019-000184,1/19/2019,2:11:00 AM,POND ROAD RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing difficulty breathing. EMS transported the individual to hospital for further medical care.
2019-000183,1/19/2019,2:22:00 AM,VANIER RESIDENCE,Fire Alarm,Unknown Cause,"Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined,"
2019-000185,1/19/2019,3:35:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Domestic Dispute,Community Member,Security and Toronto Police responded to a report of a disturbance in the residence. Two community members were involved in a domestic dispute. They were directed to separate for the remainder of the night. No injuries were reported.
2019-000187,1/19/2019,5:57:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-000188,1/19/2019,8:03:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-000189,1/20/2019,12:53:00 AM,ATKINSON COLLEGE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of an unconscious male on the first floor. The male appeared to be under the influence of intoxicants. EMS transported the individual to hospital for further medical care."
2019-000193,1/20/2019,10:19:00 AM,GOLDFARB CENTRE FOR FINE ARTS,Suspicious Persons,Subject not Identified,A community member reported observing an unknown male who acted in a suspicious manner on several occasions. A description of the male was obtained.
2019-000194,1/20/2019,12:23:00 PM,VARI HALL,Robbery Attempt,No Weapon,Security and Toronto Police responded to a report of a disturbance in the Rotunda. Two non-community members were involved in a physical altercation after an alleged robbery attempt. No injuries were reported. The suspect was identified and arrested by Police
2019-000196,1/20/2019,9:16:00 PM,STONG RESIDENCE,Emergency Medical,Slip\Trip\Fall,Security responded to a report that a community member slipped and fell on the south exterior stairs. No injuries were reported. The Work Control Centre and Residence Life were notified.
2019-000197,1/21/2019,4:41:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a jacket left unattended in a first floor room.
2019-000198,1/21/2019,8:24:00 AM,YORK LIONS STADIUM,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to fire alarm. The cause of the alarm was no determined.
2019-000199,1/21/2019,9:01:00 AM,PARKING GARAGE - ARBORETUM LANE (PS2),Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a single vehicle collision in the garage. No injuries were reported. A parking gate arm was damaged.
2019-000200,1/21/2019,10:12:00 AM,BERGERON ENGINEERING BUILDING,Harassment,By Email\Text Message,Complainant reported receiving a harassing email from a community member.
2019-000204,1/21/2019,10:49:00 AM,ROSS BUILDING,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint on the third floor. The source of the smoke was not located.
2019-000205,1/21/2019,1:18:00 PM,ROSS BUILDING,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint on the sixth floor. The area was vacant on arrival.
2019-000206,1/21/2019,1:49:00 PM,STEACIE SCIENCE AND ENGINEERING BLDG,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not located.
2019-000208,1/21/2019,2:12:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,Security responded to a report of a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000209,1/21/2019,2:24:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report that a community member experienced a seizure. EMS transported the individual to hospital for further medical care."
2019-000211,1/21/2019,3:14:00 PM,VANIER COLLEGE,Trespass to Property Act,Non-Community Member,"A Security patrol observed a previously trespassed non-community member urinating in a first floor hallway. The individual was identified, cautioned and directed to leave the building."
2019-000210,1/21/2019,4:24:00 PM,WILLIAM SMALL CENTRE,Emergency Medical,Slip\Trip\Fall,Security responded to a report that two community members slipped and fell in a stairwell. First aid was provided on scene. Further medical care was declined.
2019-000212,1/21/2019,5:45:00 PM,YORK LANES RETAIL,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing abdominal pain. EMS assessed the individual on scene. Further medical care was declined.
2019-000213,1/21/2019,6:39:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,Security responded to a noise complaint. The source of the noise was not located.
2019-000215,1/22/2019,1:03:00 AM,IGNAT KANEFF BUILDING (OSGOODE HALL),Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a second floor classroom. The individual was identified and escorted off campus.
2019-000216,1/22/2019,8:01:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a second floor hallway. The individual was identified and escorted off campus.
2019-000217,1/22/2019,8:06:00 AM,PARKING LOT 7V - SENTINEL ROAD WEST,"Mischief, Over $5000",Private Property,Security responded to a report that several vehicles had been damaged while parked in the lot. The owners of the vehicles were notified.
2019-000218,1/22/2019,11:49:00 AM,LASSONDE BUILDING,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a burst pipe. The Work Control Centre was notified."
2019-000219,1/22/2019,12:24:00 PM,SECOND STUDENT CENTRE,Damage,University Property,Security responded to a report of a damaged pane of glass on the second floor. The cause of the damage was not determined. The Work Control Centre was notified.
2019-000220,1/22/2019,1:04:00 PM,WILLIAM SMALL CENTRE,Robbery Attempt,No Weapon,"A community member reported that while seated in the building several days prior, an unknown male approached them and demanded money. The community member refused, and the suspect left the building. No injuries were reported. A description of the suspect was obtained."
2019-000221,1/22/2019,1:50:00 PM,TATHAM HALL RESIDENCE,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of a community member experiencing symptoms of an asthma attack. EMS transported the individual to hospital for further medical care."
2019-000223,1/22/2019,1:59:00 PM,MCLAUGHLIN COLLEGE,Smoking Complaint,Subject Not Identified,Security responded to a report of individuals smoking in the loading dock. The area was vacant on arrival.
2019-000226,1/22/2019,3:55:00 PM,NORMAN BETHUNE COLLEGE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not located.
2019-000227,1/22/2019,4:38:00 PM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Cooking Related,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be cooking related."
2019-000228,1/22/2019,5:23:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-000229,1/22/2019,6:24:00 PM,CALUMET RESIDENCE,Fire Alarm,Other Emergency,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a burst pipe."
2019-000231,1/22/2019,7:33:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
